Title,Lyrics
Ekasi Drill,"1 ContributorEkasi Drill Lyrics[From tripple Fives pallet guns Besisa intwana... Olova bedlali bhamu ! Namanje mawufike kasi anthem... Olova beslali bhamu ! Nine one one umakhelwane uya complainer, outside... Ngolova badlali bhamu ! Mayisuka ayisuke, istraadi sncane mabonwa bulawe, ngzok thola sodlali bhamu.]   [From tripple Fives pallet guns Besisa intwana... Olova bedlali bhamu ! Namanje mawufike kasi anthem... Olova beslali bhamu ! Nine one one umakhelwane uya complainer, outside... Ngolova badlali bhamu ! Mayisuka ayisuke, istraadi sncane mabonwa bulawe, ngzok thola sodlali bhamu.]  Code ten intwane ukhulelе kasi sonke siyamazi uzincanyelwa idisc ashayi ngane part timе ablome nes'out Uthando luyi risk bhudas imshiye nokhiye Day time aziphathelu queen ashongo one mayiqeda bheke phezulu,kufike ama outy Eyodwa inokhe ngesdunu isho ngo one, Bru wami uhlabi ntombi yami Code ten ahlanye ,droweni ibhuda inempompo acheck bible Anthem one uyanyuka kuncinza iskobho,,, eh son ngizokwenzi sobho ikhale windini Code ten adedelu fire Statham kujumper ma outy Gatin agcwali straadi mabonwa bulawe iterrytorry yakhe Mayiphuma ukhipha poison imagazini kseli dozen lama outy awaxinu bumper afice yodwa isale brijin You might also like  [From tripple Fives pallet guns Besisa intwana... Olova bedlali bhamu ! Namanje mawufike kasi anthem... Olova beslali bhamu ! Nine one one umakhelwane uya complainer, outside... Ngolova badlali bhamu ! Mayisuka ayisuke, istraadi sncane mabonwa bulawe, ngzok thola sodlali bhamu.]  [From tripple Fives pallet guns Besisa intwana... Olova bedlali bhamu ! Namanje mawufike kasi anthem... Olova beslali bhamu ! Nine one one umakhelwane uya complainer, outside... Ngolova badlali bhamu ! Mayisuka ayisuke, istraadi sncane mabonwa bulawe, ngzok thola sodlali bhamu.]  Gcwali bhobhini elikabuana useroundini useya phanta tension wok qala kushi mpama Blomas nama razo kuhlangenu grey nongelekejane Ama pitbull ekasi aqaqiwe kuhlangenu kubhuzi nkanyezi edale sgqonqeni Thuluzi rubber velu kshayisene zine ntabeni ezazi ziyagqoma nge Diamani kufama outy Kutym kdawanu mkhosi khlangani plani Ma outy khoni saka eliwu sure case mawukuthi singayi shova Ngelekejane akhiphe iskhwama avezi bhamu Maphanta egcweli kari mission usuhlangene ilocation vele siphethe Gazoli igcweli drum cash up Cesar Sdala abasdalayo Gedlela liphuma kolayini ma outy engena ejaivini gcwala kubhuzi nkanyezi Ma outy esale dustin ikasi likhala kusali thixo ovulavala noma kuvaliwe mabonwa bulawe umehle bamba..   [From tripple Fives pallet guns Besisa intwana... Olova bedlali bhamu ! Namanje mawufike kasi anthem... Olova beslali bhamu ! Nine one one umakhelwane uya complainer, outside... Ngolova badlali bhamu ! Mayisuka ayisuke, istraadi sncane mabonwa bulawe, ngzok thola sodlali bhamu.]   [From tripple Fives pallet guns Besisa intwana... Olova bedlali bhamu ! Namanje mawufike kasi anthem... Olova beslali bhamu ! Nine one one umakhelwane uya complainer, outside... Ngolova badlali bhamu ! Mayisuka ayisuke, istraadi sncane mabonwa bulawe, ngzok thola sodlali bhamu.]Embed"
Get Are Way,"1 ContributorGet Are Way LyricsReal niggas are still alive they just hide in the crowd when young niggas cup their bags they'll be cheering and proud We ate from the same bowl we were raised like we cubs, most of my OGs dark side they don’t fuck with the cups Broke niggas get they bags when they snitch on thugs, Men had to take a break from fake peers and fake hugs If you ain't drinking profit you at the counter you and your niggas over prices checking your pocket Phoney niggas playing dead like thеre is mo service, lеt your homies take losses with no ceilings Why these niggas showing hands if they not helping, they want a piece of every slice when you gone fishing Cheers to the bench squad I'll be still running ,niggas waited on my fall ended on my wave taking shorts on the low cause they still trying When the karma hits you back niggas practice what you preach  _____________ [I’ve been tryna get away From all these niggas who be hating on a low key yeah ! I'm just tryna catch a break I keep my head to the sky cause they don't mean shit.]  [I've been tryna get away From all these niggas who be hating on a low key yeah ! I'm just tryna catch a break I keep my head to the sky cause they don't mean shit.] _________  Men took Jabs and found peace and graph but on the low still worried about they health and stuff, we laugh about it over drinks rolling blunts at night but my niggas been aware all that shit hits deep It's the control system makes you more less of a men ,you niggas got convinced I'm to grown for that Living wild take one for the boys but every men wants a place called home when the calendar hits Some niggas saw the BigAre picture but they fell for the tricks If my opps throw one than iam throwing a six You homies still throwing stones like we got no bricks if some how you bring beef than am greasing the coals Don’t let your life be another niggas short term goal If many men already fell why they drag us along if ten niggas say you lame then you’re where you belong Somehow you got to take a break just to show self love You might also like[I've been tryna get away From all these niggas who be hating on a low key yeah ! I’m just tryna catch a break I keep my head to the sky cause they don't mean shit.]  [I've been tryna get away From all these niggas who be hating on a low key yeah ! I'm just tryna catch a break I keep my head to the sky cause they don’t mean shit.]Embed"
God Father III,"1 ContributorGod Father III Lyrics[Verse one] Back to reality I study the maze like Vasco I'm a sailing men I'm an pirate Some niggas got selfish egos now I live for the trap on the daily I swear to God iam tired of hood rats they came around and bit my sneakers Used to show my hand with gestures but I see no signs of life here I guess Iam showing these signs to mannequins I had to sit and wet my fingers now Ching sign is the only gesture I throw it out they still don't get it I carry on just stretching these bands men And I put in work back on my chair like bhuda One men thing no flеx bars ma Rap life is on true story , I ain't no fucked up Nigga bеing told what to do as write more of history , I looked around Connected the dots and found my name in his story I had to sit down and tell my story, iam a praying men with a burning shrine Like Chulos and Amigos I carry body raps for offerings and more rain ma essays got more bodies Then mortuary is These Days I'm just casting spells and obituaries They said Rap is dead, I said nah they gave the mic to Anubis  [ Chorus ] [ I Told you little niggas I'm your God father ! I am Your God Father ! I'm your God father ! (I am Your pap son !.) When it comes to this Rap and on earth (And on earth) I'm your God father ! I am Your God Father ! (Iam Your Pap son) ]  [ I Told you little niggas I'm your God father ! I am Your God Father ! I'm your God father ! (I am Your pap son !.) When it comes to this Rap and on earth (And on earth) I'm your God father ! I am Your God Father ! (Iam Your Pap son) ] You might also like[Verse two]  Family guy ,Business men entrepreneur with no Degree I do tomuch for one Guy I need extra arms like shiva Iam a God father on earth I know what to do next from birth Where I'm from it's gold or silver men die over Shiney metals My love for jewellery was more like Gansta then love for filigree, now Custom rings weigh more then fifty back then we used to do hollow and Platings I woke up from a different dream some things I hoped to forget buy yah Know that men don't cry, I took a knee and caught a breath Lately I party hard kicked it until I forgot my name algahul only brought me Pain Took a shot trip to the bandos extended my horn for three lines on the table Iam Ganesha I'm a Vacuum  [ Chorus ] [ I Told you little niggas I'm your God father ! I am Your God Father ! I'm your God father ! (I am Your pap son !.) When it comes to this Rap and on earth (And on earth) I'm your God father ! I am Your God Father ! (Iam Your Pap son) ]  [ I Told you little niggas I'm your God father ! I am Your God Father ! I'm your God father ! (I am Your pap son !.) When it comes to this Rap and on earth (And on earth) I'm your God father ! I am Your God Father ! (Iam Your Pap son) ]Embed"
Good Hair Natty,"1 ContributorGood Hair Natty LyricsThere are 75,000 Rastamen in Jamaica, they're easily recognised They don't cut their hair and wear it in long pigtails called dreadlocks They all say their religions and worship the dead emperor of Abyssinia, Haile Selassie, as Jah, God And through their marijuana haze, they dream of going back to Africa  I'm too obsessed with good hair, never got use to haircuts Barbers gone work on my edges, then I'm trimming my moustache TSA, TSA, TSA, spray that thing and go tsa-tsa-tsa Front line, front line, front line, cut that thing and makе it sharp, sharp, sharp  When I'm sitting in the bus, pleasе don't scratch my fade Please don't touch my afro, of course don't badge my fade Lil homie, better watch your hands Lil homie, better watch your step  I'm too obsessed with good hair I might get a fade like Martin Luther or Malcolm Maybe komb my afro like Biko or Hanni I have a dream to grow my dreadlocks longer than Damian Marley  And the lions of Tuff-gong, I got love for good hair I want a girl that looks like Angela Davis or Lupita Nyong'o Shiny hair like night skies On her head, she carrying the galaxy  I like good black hair like panther I'mma say that loud like Newton Good black hair like panther I'mma say that loud like Newton You might also likeI got good hair like Malcolm I got good hair like Nelson Good good hair like Marley Natty be dread like Rasta  Round black hair like Naza Black good hair like panther I'mma say that loud like Newton I'mma say that loud like Malcolm  I got good hair like Malcolm I got good hair like Nelson Good good hair like Marley Natty be dread like Rasta  Round black hair like Naza Black good hair like panther I'mma say that loud like Newton I'mma say that loud like Malcolm  I just need to be born again Would I have to be black Do you have a choice If you have a choice, you better be black if you have a choiceEmbed"
Grown Up,"1 ContributorGrown Up LyricsComing from the ghettos had to learn to keep my head up starring at the sky stars falling every hour like pop corns out the pot and a bunch of business men using that to gain power If The ones who run the world are deceivers and Liars then I understand why there is still debates about flat earth or spheres According to Ini I never saw proof of any sphere and what I know is what goes up will always find a way to come down, judging from my life I kept my head up and I always find a way to calm down The only time iam pissed is when I can't provide if I made anybody from any race wrong,,, its business No xenophobia and shit Whether you white or you black if you fuck with my bag you should pray for my fall I'll put your head on a bounty I got hood kids who will pop an opp for less than ten k  [I've been away hustlin it out am getting Ps now  Get these niggas out of my way am taking clips now  I'll come around Flashing that Canon I want my Bricks down I'll come around flashing that Canon I want my bricks down.]  [I've been away hustlin it out am getting Ps now  Get these niggas out of my way am taking clips now  I'll come around Flashing that Canon I want my Bricks down I'll come around flashing that Canon I want my bricks down.]  This is real life my niggas found sleep and never woke up, tomany blood clots most of the time I lost focus My mother playing lotto from her nine to five tryna change a family photo from a eight to five That's the life that we live in the sunny south most of the leaders who die are always striving for progress they get pushed to a side somebody sent him a shooter he died on his gate after a walk from a mall On my life's shift am doing this Rap as a lyrical genius I got young niggas looking up to me to see if rhythm and poetry is really worthy it or niggas go down the same bar and they carry Glocks on grams to be perceived as gangsta Some people push you enough to skiii down and fall business giving contracts ain't no retirement plan They vocab is full of hate it's all chorded in their words I had to keep the smile through the bullshit You might also like [I've been away hustlin it out am getting Ps now  Get these niggas out of my way am taking clips now  I'll come around Flashing that Canon I want my Bricks down I'll come around flashing that Canon I want my bricks down.]  [I've been away hustlin it out am getting Ps now  Get these niggas out of my way am taking clips now  I'll come around Flashing that Canon I want my Bricks down I'll come around flashing that Canon I want my bricks down.]Embed"
[ HANDY MAN DIY],"1 Contributor[ HANDY MAN DIY] Lyrics[Bad girls with juicy butt ! Why they calling a Handy Man , this must be a beta house I feel like a candy man I'm sprung I heard my business phone beep now my pants is all ripped damn juicy all drip! drip! drip!]  [Bad girls with juicy butt ! Why they calling a Handy Man , this must be a beta house I feel like a candy man I'm sprung I heard my business phone beep now my pants is all ripped damn juicy all drip! drip! drip!] __________________________  On DIY I'm nine one one am on time gotta catch that drip Private bag or private time day or night gotta make that trip Tap dripping sink is dripping pipe is licking Oh shit look how I flip the switch, I squeeze it like vice grip, she calling the handy men I heard my business phone beep Same number same door so first iam hitting my Bong rip ,I hope she got no hood rats  So amo put in work if shе calling put in work when I get therе N/A put that thing on vibrate Flip and turn it like hand brake air bags all over my face Most of the time iam tryna focus iam a men child, to good with my hands like Stevie Handy Man Or Candy Man I Also Wonder _________________________ [Bad girls with juicy butt ! Why they calling a Handy Man , this must be a beta house I feel like a candy man I'm sprung I heard my business phone beep now my pants is all ripped damn juicy all drip! drip! drip!]  [Bad girls with juicy butt ! Why they calling a Handy Man , this must be a beta house I feel like a candy man I'm sprung I heard my business phone beep now my pants is all ripped damn juicy all drip! drip! drip!] You might also like__________________________ Iam straight splitting the doors apart I'm street kid on groceries tomany apples around my dick now all iam doing is rubbery Sure good with the drill Ting I'm drilling the whole house and I'm leaving them dead like robbery Iam just a good men on my DIY and I take that ""complements"" for a better word of mouth I'm in the house with yellow Butt I feel like the living Simpsons I squeezed it hard and bust a nut must be the geezer burning hot Amo fix that like that Niger guy, I'm on DIY and all sorts I fixed I fixes that TV Fixed that back light Now I'm filling her disc drive with yoga and stuff then I'm done She wanna know if men is hungry next thing she offer cookies All iam seeing is Shiney booty oh shit Candy Men ______________________ [Bad girls with juicy butt ! Why they calling a Handy Man , this must be a beta house I feel like a candy man I'm sprung I heard my business phone beep now my pants is all ripped damn juicy all drip! drip! drip!]  [Bad girls with juicy butt ! Why they calling a Handy Man , this must be a beta house I feel like a candy man I'm sprung I heard my business phone beep now my pants is all ripped damn juicy all drip! drip! drip!]Embed"
Mrs Junes,"1 ContributorMrs Junes LyricsMeanwhile I'm back home with my mistress Smoking indoor while am tryna get ma head rest Every time you come around I got no stress you know I like it more when the booty shake with no dress I got love for cute eyes and fine skin Bring it over now watch me go waist deep Cause NO Woman no Ahhh when the sun is gone You know I slide through that thing until the sunrise Got me up pulling strings on the day shift  You know Falling of your back is the right clif Got me chopping on that cake like a French chef, watch me go up down like a bеnch press I can pick you up we can get off thе mattress DIY with Ben I Fix Everything Still Got no beef for men I took the chick'n I got you so close I can feel your heart beaten  [ I've been down I've been Round Baby!] We've been down in a minute...[Baby!] I got you in my arms in a init......[Baby!] We don't stop init ?! ...[Baby!] We go round and round init ?! ...[Baby!]  [ I've been down I've been Round Baby!] We've been down in a minute...[Baby!] I got you in my arms in a init......[Baby!] We don't stop init ?! ...[Baby!] We go round and round init ?! ...[Baby!] You might also like ""Energy"" I got energy I'll give you good loving whilst making good memories got you in my arms like a Spanish guitar when you done on your hair I finna get back to you Come over baby you can show me what you got you my ride or die like Bonnie and Clyde Got my head in your clouds never been loud everytime I'm with you I'll be living of the grid and when we move around I can never lose the grip You'll be still around when am feeling down and you'll be still here when am feeling up Cause you got that one thing that makes men stay of the streets spreading it all on the sheets getting me off my feet playing that one string I cutting you like a G string I like music I fuck through it but pussy so good it can make me lose conscious  [ I've been down I've been Round Baby!] We've been down in a minute...[Baby!] I got you in my arms in a init......[Baby!] We don't stop init ?! ...[Baby!] We go round and round init ?! ...[Baby!]  [ I've been down I've been Round Baby!] We've been down in a minute...[Baby!] I got you in my arms in a init......[Baby!] We don't stop init ?! ...[Baby!] We go round and round init ?! ...[Baby!]   See when the sun is down you know the streets is watching see when you move fast you hear the dogs are bucking but I'll be still around coz my moves are classic and I got that hot thing on the road she busting never need a bitch she be on in like a stunner , if am caught of guard she can pull up like a gunner we been Vibing all year Like everyday is still summer and when am on your back marathon am a runner one men Ting on that one men string never beg for love when you got men like Ben Nah they ain't like us they ain't got mind like men nah they ain't like us they got mind like.... [ all I need that's all I need] x3Embed"
Narco True North,"1 ContributorNarco True North LyricsStill got one foot in the game can't Rap about my savage ways In the bando filling like Santa got Broski on the watch while am loading my bags We like mates in the cell how we breaking that bread Feeling like Shaka Zulu how am swinging that shag All of these rappers ain't posing a treat brought it to life cause this Rap game was dead Mountain man am a legion you can't compare me to pigeon Fly out the  night with a vision fell out the nest little pigeon I eat everything that is breathing Humble your self this ma season I'll swallow your gang like a whale eating fish in the ocean  Out of existence.... Your gang is my Bosta Hasta la vista ma nigga ME llevo a tu Chica Te amo Ragazza Three pm on N2 am still moving north where the cake is Baking chain is racking  Told my niggas i might jump out cause the margin In drilling and Rap is not equal when it comes out to the outcome Fell in love with the money machine all I heard is that money is a sin Left and right how am swinging the fin like a shark how am taking my cut  Blood diamonds how am leaving the scene you see me now you me never am blessed ,,,,In he'll and,,,,, Cursed in heaven You see:::: Me now you ;;;See me never am ,,,,Blessed in ahhh:::  [I can't complain real niggas say obey am in the studio getting baked Rap game is getting racked  Four wheels no brakes Review mirrors mirror am flashing lights pull upon you like a drag race No face no case !  I can't complain real niggas say obey am in the studio getting baked Rap game is getting racked Four wheels no brakes Review mirrors mirror am flashing lights pull upon you like a drag race No face no case !] You might also like  One men Ting am a ghetto mandem  never stopped cycling I don't know what its like to be chilled whilst this Rap is running Got five toes in this trap and am stuck like concrete I tried so hard like Bone Thugs in the studio feeling like Akon And this trap this game is mine your  favorite rapper what can they reckon No beef just a piece of beacon more bodies in a Rippers wagon got burnt down cause he feels like a champion Men like Ben Still move if men don't move is stressed kudos wanna talk about groove  They wanna know if men like Ben do get down when it's time to dance I might kick it like Matthew Lee, when I'm moving with Billie Jean  Had a word with a Bafo Maths ,woke up with a melody that's when I learnt to dance to pain Nine to five still stuck in my ways  They say men is moving nice that's how it looks when you dance with the devil in hell Got this thing in my head that talks you don't wanna know what it says If you see me shake my head alone that's  when I disagree to demons Got this thing in my head that talks you don't want to know what it says..  [Talks talks talks]  [I can't complain real niggas say obey am in the studio getting baked Rap game is getting racked Four wheels no brakes Review mirrors mirror am flashing lights pull upon you like a drag race No face no case ! I can't complain real niggas say obey am in the studio getting baked Rap game is getting racked Four wheels no brakes Review mirrors mirror am flashing lights pull upon you like a drag race No face no case !]Embed"
Og Clips,"1 ContributorOg Clips LyricsThis is for my niggas under roses who left with no goodbyes changed the scene with no no caution I hope you find peace and love all thr things you should have done let them go and rest with no tension Besides all the thugin you be one of the best cause people seem to judge who ever whether blessed or cursed I pour liquor for my niggas with a fist on my chest, even though we world's apart we be moaning like you here with us If it wasn't for the rules and staff I'll give half of what i have just to buy you days You believed in nine to five every men for him self but In the streets ypu rolled up cause you knew crime that pays I never saw you going fishing or with hooks and rods but one day you came home with many crabs in the battle and for the first time I saw somany Glocks and wheels with no cops _____________ [ Ma nigga say something You know this ain't part of the plan just say something All this diam ain't nothing if losing you was part of the plan this ain't mo deal Ma nigga say something Nigga ypu can't Die on my hands just say something Ma nigga say something You know this ain't part of the plan just say something All this diam ain't nothing if losing you was part of the plan this ain't mo deal _____________ Ma nigga say something Nigga ypu can't Die on my hands just say something Ma nigga say something you know this ain't part of the plan just say something  All this diam ain't nothing if losing you was part of the plan this ain't no deal] Ma nigga say something you know this ain't part of the plan just say something ] _______________  You my Day one nigga my Big bro my cuz if it wasn't for your lessons I'll be chopping these onions, but out here you left curbs we still hunting like lions all the niggas on your case ain't got no bed to go lay on ,you the reason. Why niggas found peace in these #### some of the niggas MIA when street watchers were talking  I saw your name on the news but the story was different haf to go and see the writer for some defaults and judgements When i got to the house the whole story was different, niggas wanna talk shit like they living on islands when it comes to touching blood I'll be causing the damage When i broke my bag for the family debts and bills you thr one who backed me up on the studio Money When you died I went and put the microphone in the back yard This line is for the boys in the hood we don't cry how I wish all of my niggas who died were locked up cause in the end they will get released we will rejoice and Mob ties You might also like _____________ [ Ma nigga say something You know this ain't part of the plan just say something All this diam ain't nothing if losing you was part of the plan this ain't mo deal Ma nigga say something Nigga ypu can't Die on my hands just say something Ma nigga say something You know this ain't part of the plan just say something All this diam ain't nothing if losing you was part of the plan this ain't mo deal _____________ Ma nigga say something Nigga ypu can't Die on my hands just say something Ma nigga say something you know this ain't part of the plan just say something  All this diam ain't nothing if losing you was part of the plan this ain't no deal] Ma nigga say something you know this ain't part of the plan just say something ] _______________Embed"
Popping Pills,"1 ContributorPopping Pills Lyrics[One Thing I learnt in life whether dark or blue you Rip what you saw Them men they see you coming they run towards you and close the door Heads or tails I asked my self ...are they really down for bru's How many times I was in a Hotspot charging lines for friend or Foes]   [One Thing I learnt in life whether dark or blue you Rip what you saw Them men they see you coming they run towards you and close the door Heads or tails I asked my self ...are they really down for bru's How many times I was in a Hotspot charging lines for friend or Foes]  How many men sleep under the bridge fell inlove with a smoking pipe back in the days they lost they grip, told my self I'm gone smoke this joint men like Ben Don't chase that high Seen some homies leave their homes with stolen goods and no good byes If you think one men is dirty dirty I'm one of the cleanest in my gang  All I know is chase that bag many men wanna sit and brag ,one thing is certain certain slow grind is better then none Went down on the busy road I've seen some niggas I grew up with their in and out like prison break When the real niggas ride out you know BigAre Ben the streets is done Got seven up for my Gs Got seven up for my mandem hustlers Got seven up for that good luck  Got seven up when you hitting that jackpot On the road with them hyenas I've seen some opps get eaten alive On the dark side of the town with the wrong colors in your bag this is 031 Most of the time the sky is blue and the sun is out ,most of the time the moon is red ,I don't know about sunset but still got my joint for the sunrise You might also like [One Thing I learnt in life whether dark or blue you Rip what you saw Them men they see you coming they run towards you and close the door Heads or tails I asked my self ...are they really down for bru's How many times I was in a Hotspot charging lines for friend or Foes]  [One Thing I learnt in life whether dark or blue you Rip what you saw Them men they see you coming they run towards you and close the door Heads or tails I asked my self ...are they really down for bru's How many times I was in a Hotspot charging lines for friend or Foes]  Am out on the road ducking and diving Big Men El_Chapo ,heard a quote that caught my eye it said as you live better count your blessings Where I'm from we barely smile for the love of God we don't call it a curse ,our pain is more like a lesson The rich gets richer and the poor gets poorer and the hustlers stay on the road can't sleep on the mission Let him who has no sin cast the first stone I'll be out here waiting They Don't care when you out here struggling when you paid they wanna know what's happening Is he really eating of raps or is he out there drilling with mandem I'm on the road from Am to sundown drop rhymes when I'm chilling eSnqawnqaw and I've said it before what you smoke don't make me choke, what you eat don't make me drop The girls I'm hitting now way better than your wifey. Am a grinding men I don't dig on the same trench  My dick still hard like a crow bar am stuck on that booty like Towbar Fell in love with her boobs she had no bra,are you leaving that i said no bru ,run for her booty like one of the snow bros Fell in love with the dark side of the moon, whether in or out the bucket you know every drop counts    [One Thing I learnt in life whether dark or blue you Rip what you saw Them men they see you coming they run towards you and close the door Heads or tails I asked my self ...are they really down for bru's How many times I was in a Hotspot charging lines for friend or Foes] [One Thing I learnt in life whether dark or blue you Rip what you saw Them men they see you coming they run towards you and close the door Heads or tails I asked my self ...are they really down for bru's How many times I was in a Hotspot charging lines for friend or Foes]Embed"
Real As it Ghetts,"1 ContributorReal As it Ghetts LyricsSo I tighten my shoes just incase we run sometimes am out the booth just to get shit done I might feel like am Arthur with the gun on my hand or be a man like biko with the brains in my head , I meant to live a long life like Madiba instead Some people hate to see you grow they only see your mistakes all the fakes all the lies be the reason am baked Visions of a grown man from day one of my Ps It ain't about who came first it's the Size of the cut this is as real as it gets now we raging the block, some of my opps throwing shade they ain't afraid of the glockenspiel Until an eye for an eye they ain't no story as such ninety minutes tucked in amo do it or die I know you niiggas want me dead I'm gone get to you first I swear you will never hear a word when am quenching my thirst When you running with my bread I'm gon come for your shelves don't be the type to call the cops on some robbery Theft Making last minute deals with the nine on your back Bitch we the same age who the fuck is your uncle  Ooh live your life [hey] Tryna hustle everyday seems like am going down I know life is hard but i rather go broke then go and make a sacrifice  I'll be a man and take a loss like am a boss and shit bit when am Don with what iam on iam all about that check Whether one two or three I still count that brick, niggas push me off the edge like I walk on walls, hood nigga being gentle that's a wake up call Iam in the space where they say you don't release you fall ,you niggas showing all the hate like I got gravity codes. Seeing niggas stay afloat is the reason you choke Maybe my hustle unmatched why they wait for the fall Showing me they last tooth with that fuck you face When you dive in the ocean beware of the sharks when thy see you freestyling they approach for a cut, I'll never sign men deal just to flex in the hood They Say iam for the moon miss be amongst the stars make it rain in the club i know you got that card  It's the good the ugly and the bad on my face who am I   Ooh live your life [hey] Tryna hustle everyday seems like am going down I know life is hard but i rather go broke then go and make a sacrifice As real as it's gets... I know we not the same /// Let's try and make a change Ohhhh uhhhh hooYou might also likeEmbed"
Roc Da Boat,"1 ContributorRoc Da Boat LyricsNiggas were jackaled in chains back in slavery days Couldn't even take a walk or go and chill at the bay We used to talk about death, rolling joints in the stu Most of my niggas bashed out for the nine to five  We out here breaking chain generational curses I don't blame you niggas, your success came early I fell in love with this rap before I got in the studio Most of you niggas are wack, your whole story is backwards  Old nigga on the gram, tryna cop this blue tig So the ladies on my slide, whether thick or slim I see the nyash , on my feed, thеn somebody's gon' get it Back in 006, I couldn't close my jaws  Looking at thеse hot women on my TV screen So I might cop a cougar or a milf for a Halloween theme Bad boy with a big broom, turning bad bitches to fly witches at night Beat that ass up, take a shower like a Zulu guy  And sing a lullaby, I'm on the street Chasing bitches, throwing signs for the rolling by's We out here tryna win, yo  Even though I handle biz, but I gotta find the pouch when I You might also likeI be feeling on your hair while I'm tapping on your ass, when I Shawty got a good smile, but I finna change that, cause I She want me too, she want me too, ah  Even though I handle biz, but I gotta find the pouch when I  I be feeling on your hair while I'm tapping on your ass, when I Shawty got a good smile, but I finna change that, cause I She want me too, she want me too, ah  BigAre Ben a pen too, vintage for y'all  If I buy that dress, she's the one who's gon' wear it I'm not that feminine, I know what's feminine I'd rather be a gentleman Opening doors and pulling chairs like a chauffeur  Giving the love that she don't get from his many men Grabbing my dick, she brings it up like a toaster Flipping it up, I pick it up from the sofa Spending my time with the bad girl with good head  Then fake niggas with low morals and bad vibes I got a glimpse of the good power I might paint the mural in a split second Taking my time with this tall girl with high niche I'm like David on the foreplay I ain't no fear, no giant Back that ass up in her heels Put your legs on my shoulders, I like how you smell  It's like a enzyme on my dick's drive, I'm still up I did maths as a young nigga MC's equal to women are hot in four corners Living the life from the east to the west  And the nyassh she's still the best in the southern side  Even though I handle biz, but I gotta find the pouch when I  I'll be feeling on your hair while I'm tapping on your ass, when I Shawty got a good smile, but I finna change that, cause I She want me too, she want me too, ah  Even though I handle biz, but I gotta find the pouch when I  I be feeling on your hair while I'm tapping on your ass, when I Shawty got a good smile, but I finna change that, cause I She want me too, she want me too, ahEmbed"
RRRR PAH,"1 ContributorRRRR PAH Lyrics[Hoodlum all you hear is... Thrrr pah! Young nigga went for bread but he got shot like... Thrrrr pah Fell inlove with the money an scheming but he got shot like... Thrrr Pah! If you stuck in the ghetto relay got to dodge that... There Pah ! ]  _____________________  I got to thank God for all these blessings and grace sometimes I feel numb on holy water I wash my face Cleaned all my sneakers for the feds I left no trace I'm just doing a home run Little homie this ain't your race I've been working for countless days If a hood nigga took flight Bru you don't know me don't judge my casе I've been working to pop that ace for the opps gеt out my face ""Mi casa Su Casa"" I grew in the murder scene sometimes the weed is my medicine Most of the time I look around I only got my self and I Why snitches tryna block my hand from riches you know I'm all about those bitches fat burgers and thick cheese, grown men I'm all about victories Came in the matrix dope twentyfour hours I'm causing glitches  _____________________ [Hoodlum all you hear is... Thrrr pah! Young nigga went for bread but he got shot like... Thrrrr pah Fell inlove with the money an scheming but he got shot like... Thrrr Pah! If you stuck in the ghetto relay got to dodge that... There Pah ! ] _______________ O nine I picked that pen o twelve I was with the gang bought more mics because I had more plans kick and snare and i made it work all of these bars are of the drain Seen some niggas leave this game I'll be here until I make it rain I'm in the studio casting spells when I'm asleep I'm hearing bells must be my spirits are outta Tune I'm on my daily Carpe diem playing chess with a cup of tea I've never been good at yelling check mate fuck around and watch your step P/A no warning shots, keep your head up and connect the dots I'm in the relay running Rap grabbed this mic from all of the goats K_B 37 -The Great one who comes after Al-Shakur and Al-Ali the most High One men thing on my wrist I ain't got time to fuck around and run for bate You might also like________________ [Hoodlum all you hear is... Thrrr pah! Young nigga went for bread but he got shot like... Thrrrr pah Fell inlove with the money an scheming but he got shot like... Thrrr Pah! If you stuck in the ghetto relay got to dodge that... There Pah ! ]  [Hoodlum all you hear is... Thrrr pah! Young nigga went for bread but he got shot like... Thrrrr pah Fell inlove with the money an scheming but he got shot like... Thrrr Pah! If you stuck in the ghetto relay got to dodge that... Thrrr Pah ! ]Embed"
